Flux (e-/pix/frame),SNR Improvement Factor
0.1,1.1965761764156158
0.14384498882876628,1.190404444047142
0.20691380811147897,1.1822489478110323
0.29763514416313175,1.1715847698031936
0.42813323987193935,1.1584025740777215
0.6158482110660264,1.1432942871193192
0.8858667904100825,1.1259661413043218
1.2742749857031335,1.1069571034245673
1.8329807108324356,1.0874997763840317
2.636650898730358,1.0680614608712766
3.79269019073225,1.0507200761709576
5.455594781168517,1.0358398871635903
7.847599703514611,1.0238319286835316
11.288378916846883,1.0141891403002414
16.23776739188721,1.007733239804734
23.357214690901213,1.003735781697657
33.59818286283781,1.0017937714403604
48.32930238571752,1.000685065629763
69.51927961775606,1.0002945760761663
100.0,1.0
